id;titulo;conteudo;ativo;created_at;updated_at;deleted_at
29793b4e-bc2d-4739-908b-7020921095d0;strict;../fake-data/blob/hipster.txt;false;2024-05-29T13:05:50;2024-05-28T21:47:01;2024-05-29T04:13:09
a3a251c8-599d-4a18-b2a2-8b3936225ce3;that always curly;../fake-data/blob/hipster.txt;false;2024-05-28T21:39:31;2024-05-29T08:03:13;2024-05-28T22:04:35
16df3ebd-40f3-45a3-8bbf-54e30277f9b7;vegetable tailgate twine;../fake-data/blob/hipster.txt;false;2024-05-28T20:09:01;2024-05-29T12:21:54;2024-05-29T01:21:12
aa3f5621-2247-4c75-9cea-fc5f76446e16;furthermore as;../fake-data/blob/hipster.txt;false;2024-05-29T13:29:20;2024-05-28T15:29:34;2024-05-29T01:22:57
e03a9ec2-9e70-49e9-ac8a-74a32d93c212;jealous stale gadzooks;../fake-data/blob/hipster.txt;false;2024-05-28T22:53:38;2024-05-29T06:46:14;2024-05-29T01:43:05
68c0e083-e497-487e-ac28-33117c536cb4;predict gumshoe forswear;../fake-data/blob/hipster.txt;false;2024-05-29T00:43:31;2024-05-28T22:24:22;2024-05-29T14:02:17
c855a2b0-d58c-4250-84eb-62398f607c0a;sparse grim gosh;../fake-data/blob/hipster.txt;false;2024-05-28T19:08:17;2024-05-29T09:50:39;2024-05-29T02:27:38
8039b10f-0af0-4f93-bd61-ca2844d056c0;phooey gosh peppery;../fake-data/blob/hipster.txt;true;2024-05-28T21:23:31;2024-05-29T09:30:42;2024-05-29T12:26:29
c5717eeb-77e3-4754-9028-349fa83318e6;bob;../fake-data/blob/hipster.txt;true;2024-05-29T12:59:30;2024-05-29T10:18:03;2024-05-28T23:16:15
50f8de00-c240-4ac5-93da-b79ee10e2710;measly poor;../fake-data/blob/hipster.txt;true;2024-05-29T02:05:53;2024-05-28T18:33:55;2024-05-28T15:26:13
