id;titulo;conteudo;ativo;created_at;updated_at;deleted_at
05c469cc-13cd-4a6e-a460-7b58cb8bc7f1;eclipse above;../fake-data/blob/hipster.txt;true;2024-05-28T16:56:27;2024-05-28T18:39:26;2024-05-29T09:36:05
004126a8-2703-4ea4-b97c-c20c91b63a97;above loudly;../fake-data/blob/hipster.txt;false;2024-05-28T17:09:48;2024-05-29T02:26:03;2024-05-28T17:26:40
60ec73f0-bfa3-4ee1-9be1-140ffcfcf814;bah toward defiantly;../fake-data/blob/hipster.txt;false;2024-05-28T16:04:18;2024-05-28T17:20:16;2024-05-29T02:02:50
1dc1e438-0265-422b-809d-fa32b8370f11;uh-huh;../fake-data/blob/hipster.txt;true;2024-05-29T12:50:47;2024-05-29T03:20:55;2024-05-28T16:56:36
8af98b7e-c0ad-486b-9c25-c6ac2c607999;splatter;../fake-data/blob/hipster.txt;false;2024-05-29T05:32:15;2024-05-29T03:00:19;2024-05-28T17:08:58
3894763e-7f8f-4f81-9361-4852ef922d96;athwart elementary;../fake-data/blob/hipster.txt;true;2024-05-28T23:32:38;2024-05-29T07:28:59;2024-05-28T20:11:18
412a64a0-2ee7-4e3f-bb34-5c212d0cf0fe;keenly though over;../fake-data/blob/hipster.txt;false;2024-05-28T21:50:20;2024-05-28T18:17:56;2024-05-28T23:42:12
8952a4d5-fac9-4804-8d95-144583d12965;lest spoon;../fake-data/blob/hipster.txt;false;2024-05-29T07:33:12;2024-05-29T06:22:43;2024-05-29T02:08:48
533f0ce0-f1fc-4528-95c5-df7ca177f297;woeful;../fake-data/blob/hipster.txt;true;2024-05-29T12:27:05;2024-05-29T04:00:11;2024-05-28T20:11:35
3e85c160-f59c-4856-988e-87a1d3f21102;restfully;../fake-data/blob/hipster.txt;true;2024-05-29T12:08:47;2024-05-28T18:02:04;2024-05-29T00:25:17
